Workflow,Strategy,N,Top-1 Acc,Hit@2,MRR@2,Macro-F1 (Top-1),Macro-F1 (Resolved),Set-F1@2,Pos-2 Share,Mean Time (s)
Single Agent,Top-2,240,0.3625,0.6458333333333334,0.5041666666666667,0.29767338579713276,0.64766020551054,0.4305555555555555,0.2833333333333333,3.1446666666666667
Single Agent,Top-1,240,0.3,0.3,0.3,0.22099285003167712,0.22099285003167712,0.3,0.0,2.056708333333333
Two Agent,Top-2,240,0.43333333333333335,0.6416666666666667,0.5375,0.3892544834897941,0.6299171408605371,0.44166666666666665,0.20833333333333334,7.114458333333332
Two Agent,Top-1,240,0.44166666666666665,0.44166666666666665,0.44166666666666665,0.42703759455354184,0.42703759455354184,0.44166666666666665,0.0,3.4695833333333335
Diff Eval,Top-2,240,0.6041666666666666,0.8375,0.7208333333333333,0.6072336795110964,0.8439130736907506,0.5611111111111111,0.23333333333333334,150.64920833333335
Diff Eval,Top-1,240,0.6125,0.6125,0.6125,0.6119999918415394,0.6119999918415394,0.6125,0.0,151.584
